cid_temp,title,year,data_source
0,hypersurfaces in hyperbolic space with support function,2015,MICROSOFT_ACADEMIC
1,hypersurfaces in hyperbolic space with support function,2012,MICROSOFT_ACADEMIC
2,on nonnegatively curved hypersurfaces in hyperbolic space,2016,MICROSOFT_ACADEMIC
3,on nonnegatively curved hypersurfaces in hyperbolic space,2016,MICROSOFT_ACADEMIC
4,correspondences of hypersurfaces in hyperbolic poincare manifolds and conformally invariant pdes,2010,MICROSOFT_ACADEMIC
5,weakly horospherically convex hypersurfaces in hyperbolic space,2016,MICROSOFT_ACADEMIC
6,weakly horospherically convex hypersurfaces in hyperbolic space,2017,MICROSOFT_ACADEMIC
7,ricci curvature rigidity for weakly asymptotically hyperbolic manifolds,2003,MICROSOFT_ACADEMIC
8,ricci curvature rigidity for weakly asymptotically hyperbolic manifolds,2006,MICROSOFT_ACADEMIC
9,a positive mass theorem on asymptotically hyperbolic manifolds with corners along a hypersurface,2008,MICROSOFT_ACADEMIC
10,hypersurfaces with nonegative ricci curvature in mathbb h n 1,2019,MICROSOFT_ACADEMIC
11,on nonnegatively curved hypersurfaces in mathbb h n 1,2018,MICROSOFT_ACADEMIC
12,condensed ricci curvature of complete and strongly regular graphs,2019,MICROSOFT_ACADEMIC
13,on nonnegatively curved hypersurfaces in mathbb h n 1 h n 1,2018,MICROSOFT_ACADEMIC
14,hypersurfaces in hyperbolic poincare manifolds and conformally invariant pdes,2020,MICROSOFT_ACADEMIC
15,hypersurfaces with nonnegative ricci curvature in hyperbolic space,2017,MICROSOFT_ACADEMIC
16,horosperically convex hypersurfaces in h n 1 and conformal metrics on domains in s n,2012,MICROSOFT_ACADEMIC
17,open problems on central simple algebras,2011,MICROSOFT_ACADEMIC
18,indecomposable and noncrossed product division algebras over function fields of smooth p adic curves,2011,MICROSOFT_ACADEMIC
19,indecomposable and noncrossed product division algebras over function fields of smooth p adic curves,2009,MICROSOFT_ACADEMIC
20,formal constructions in the brauer group of the function field of a p adic curve,2014,MICROSOFT_ACADEMIC
21,on saltman s p adic curves papers,2010,MICROSOFT_ACADEMIC
22,noncrossed products and nonabelian crossed products over ℚ t and ℚ t,1995,MICROSOFT_ACADEMIC
23,bloch ogus sequence in degree two,2010,MICROSOFT_ACADEMIC
24,tame division algebras of prime period over function fields of p adic curves,2010,MICROSOFT_ACADEMIC
25,tame division algebras of prime period over function fields of p adic curves,2014,MICROSOFT_ACADEMIC
26,noncrossed products over _,2001,MICROSOFT_ACADEMIC
27,fixed points of the p adic q bracket,2012,MICROSOFT_ACADEMIC
28,alternating forms and the brauer group of a geometric field,2007,MICROSOFT_ACADEMIC
29,cyclic length in the tame brauer group of the function field of a p adic curve,2016,MICROSOFT_ACADEMIC
30,cyclic length in the tame brauer group of the function field of a p adic curve,2013,MICROSOFT_ACADEMIC
31,an arithmetic obstruction to division algebra decomposability,2000,MICROSOFT_ACADEMIC
32,noncyclic division algebras over fields of brauer dimension one,2020,MICROSOFT_ACADEMIC
33,noncyclic division algebras over fields of brauer dimension one,2019,MICROSOFT_ACADEMIC
34,a family of p adic isometries fixed points and the number three,2006,MICROSOFT_ACADEMIC
35,tame covers and cohomology of relative curves over complete discrete valuation rings with applications to the brauer group,2011,MICROSOFT_ACADEMIC
36,division algebra cyclicity in prime degree over a p adic curve,2014,MICROSOFT_ACADEMIC
37,fixed points of the q bracket on the p adic unit disk,2009,MICROSOFT_ACADEMIC
38,surface warming by the solar cycle as revealed by the composite mean difference projection,2007,MICROSOFT_ACADEMIC
39,the influence of the solar cycle and qbo on the late winter stratospheric polar vortex,2007,MICROSOFT_ACADEMIC
40,stratospheric polar warming by enso in winter a statistical study,2007,MICROSOFT_ACADEMIC
41,temporal and spatial patterns of the interannual variability of total ozone in the tropics,2003,MICROSOFT_ACADEMIC
42,solar cycle warming at the earth s surface in ncep and era 40 data a linear discriminant analysis,2008,MICROSOFT_ACADEMIC
43,constraining model transient climate response using independent observations of solar cycle forcing and response,2008,MICROSOFT_ACADEMIC
44,quasi biennial oscillation and quasi biennial oscillation annual beat in the tropical total column ozone a two dimensional model simulation,2004,MICROSOFT_ACADEMIC
45,interannual variability and trends of extratropical ozone part i northern hemisphere,2008,MICROSOFT_ACADEMIC
46,the seasonal cycle of n2o,2004,MICROSOFT_ACADEMIC
47,chaotic and non chaotic response to quasiperiodic forcing limits to predictability of ice ages paced by milankovitch forcing,2018,MICROSOFT_ACADEMIC
48,the sensitivity of tropospheric methane to the interannual variability in stratospheric ozone,2001,MICROSOFT_ACADEMIC
49,religious cultural issues in warfare what military leaders need to know,1993,MICROSOFT_ACADEMIC
50,rotor for fishing reel,2013,MICROSOFT_ACADEMIC
51,validating a learning progression in mathematical functions for college readiness,2011,MICROSOFT_ACADEMIC
52,three diagnoses of why transfer across disciplines can fail and their implications for interdisciplinary education,2014,MICROSOFT_ACADEMIC
53,considering factors beyond transfer of conceptual knowledge,2013,MICROSOFT_ACADEMIC
54,future k 12 teacher candidates take on engineering challenges in a project based learning course,2016,MICROSOFT_ACADEMIC
55,numerical ocean modeling and simulation with cuda,2011,MICROSOFT_ACADEMIC
56,high performance regional ocean modeling with gpu acceleration,2013,MICROSOFT_ACADEMIC
57,validation of the nonhydrostatic general curvilinear coastal ocean model gccom for stratified flows,2019,MICROSOFT_ACADEMIC
58,nesting nonhydrostatic gccom within hydrostatic roms for multiscale coastal ocean modeling,2016,MICROSOFT_ACADEMIC
59,enhancing regional ocean modeling simulation performance with the xeon phi architecture,2017,MICROSOFT_ACADEMIC
60,as 864 19 resolution on campus climate university ombuds and training,2019,MICROSOFT_ACADEMIC
61,as 857 18 resolution on campus climate oudi collective impact report funding and student fee,2018,MICROSOFT_ACADEMIC
62,as 826 17 resolution to establish exit interview protocol and a request for outside review,2017,MICROSOFT_ACADEMIC
63,an exploration of definition and procedural fluency in integral calculus,2006,MICROSOFT_ACADEMIC
64,prospective mathematics teachers views on the role of technology in mathematics education,2007,MICROSOFT_ACADEMIC
65,students understanding of mathematical objects in the context of transformational geometry implications for constructing and understanding proofs,2006,MICROSOFT_ACADEMIC
66,developing the problem posing abilities of prospective elementary and middle school teachers,2015,MICROSOFT_ACADEMIC
67,university students problem posing abilities and attitudes towards mathematics,2002,MICROSOFT_ACADEMIC
68,influence of an inquiry oriented technology based proof intensive geometry course on the van hiele levels of prospective mathematics teachers,2010,MICROSOFT_ACADEMIC
69,prospective mathematics teachers views on the role of technology in mathematics,2007,MICROSOFT_ACADEMIC
70,commutation relations for toeplitz and hankel matrices,2002,MICROSOFT_ACADEMIC
71,some results on higher order isometries and symmetries products and sums with a nilpotent operator,2015,MICROSOFT_ACADEMIC
72,the m q isometric weighted shifts on l p spaces,2015,MICROSOFT_ACADEMIC
73,composition and multiplication operators on the derivative hardy space,2018,MICROSOFT_ACADEMIC
74,on m p expansive and m p contractive operators on hilbert and banach spaces,2015,MICROSOFT_ACADEMIC
75,products of several toeplitz operators,2000,MICROSOFT_ACADEMIC
76,structures of left n invertible operators and their applications,2015,MICROSOFT_ACADEMIC
77,elementary operators which are m isometries,2014,MICROSOFT_ACADEMIC
78,kernels of hankel operators and hyponormality of toeplitz operators,2001,MICROSOFT_ACADEMIC
79,normal singular cauchy integral operators with operator valued symbols,2017,MICROSOFT_ACADEMIC
80,some algebraic properties of toeplitz and hankel operators on polydisk,2003,MICROSOFT_ACADEMIC
81,on a class of jointly hyponormal toeplitz operators,2002,MICROSOFT_ACADEMIC
