cid_temp,rid_temp
0,78167
0,79310
0,73306
1,78167
1,79310
1,73306
2,78167
2,72451
2,73306
3,78167
3,72451
3,73306
4,78167
4,79310
4,73306
5,78167
5,73306
5,77517
6,78167
6,73306
6,77517
7,78167
7,72451
7,73306
8,78167
8,73476
8,73306
9,78167
9,73476
9,73306
10,78167
10,73306
11,78167
11,72451
11,73306
12,78167
12,72451
12,73306
13,38
13,39
13,40
13,41
13,42
13,43
14,78167
14,79310
14,73306
15,78167
15,72451
15,73306
16,78167
16,79310
16,73306
17,53
17,76013
17,55
17,56
18,76013
18,77009
18,76830
19,76013
19,77009
19,76830
20,76013
20,76830
21,76013
22,76013
23,76013
23,76830
24,76013
24,76830
24,76830
25,76013
25,76830
26,76013
26,77009
26,76830
27,76013
27,77009
27,76830
28,76013
29,76013
30,76013
31,76013
32,76013
33,76013
34,76013
35,76013
35,76830
36,76013
37,76013
38,78316
38,78368
39,78316
39,78368
40,78316
40,78316
40,78368
41,78316
41,73787
41,73493
42,78368
42,78316
42,78316
43,78368
43,105
43,78316
43,78316
44,77966
44,109
44,78316
44,111
44,112
44,74323
44,114
44,73493
45,77966
45,78316
45,118
45,119
45,120
45,73493
46,74323
46,78316
46,73493
47,125
47,78316
47,127
48,78316
48,73787
48,130
48,73493
49,132
50,133
51,134
51,135
51,136
51,75592
51,138
52,76752
52,75592
53,76752
53,75592
53,143
54,144
54,145
54,146
55,72373
55,74368
55,73860
56,150
56,151
56,72373
56,74368
56,73860
57,73104
57,74368
57,78553
57,76494
58,74368
58,73104
58,161
58,162
58,78553
58,76494
59,73860
59,166
59,74368
60,75191
60,74134
60,78489
60,74130
60,78125
61,75191
61,74134
61,78489
61,74130
61,78125
62,75191
62,78125
62,74130
62,181
63,182
63,79510
63,184
63,185
63,186
63,187
63,188
63,189
63,190
63,191
63,192
63,193
63,194
63,195
63,76833
64,79510
64,72333
64,76833
64,77110
65,79510
65,72333
65,76833
65,77110
66,205
66,77131
66,207
67,77006
67,79510
67,76229
68,77006
68,79510
68,76229
69,79510
69,215
69,75241
69,76833
70,218
70,219
70,220
70,221
71,75335
71,79510
72,75335
72,79510
73,79510
73,227
73,228
73,76672
73,76833
73,75315
73,232
73,75674
74,79510
74,76672
74,76833
74,75315
75,238
75,79510
75,240
75,241
75,242
75,243
75,244
75,245
76,246
76,247
76,248
76,249
76,250
76,251
77,77131
78,79510
78,74802
78,76672
78,76672
79,79510
79,78568
79,259
80,74107
80,79510
80,75315
80,263
81,79510
81,74107
81,76685
81,75315
82,79521
82,77232
82,75753
83,79510
83,75315
84,77131
85,79510
85,74107
85,76685
85,75315
86,79510
86,75315
86,76672
86,76833
87,79521
87,283
87,77232
87,75753
88,72382
88,78830
88,74034
88,78169
88,78252
88,72628
88,74588
88,73984
88,79183
88,74510
88,73677
88,74286
88,78004
88,78503
88,73449
88,77267
88,72443
88,75254
88,76249
88,77131
88,77227
88,78782
88,76181
88,72727
88,72441
88,77750
88,79106
88,79043
88,72334
89,72382
89,78830
89,74034
89,78169
89,78252
89,72628
89,74588
89,73984
89,79183
89,74510
89,73677
89,74286
89,78004
89,78503
89,73449
89,77267
89,72443
89,75254
89,76249
89,77131
89,77227
89,78782
89,76181
89,72727
89,72441
89,77750
89,79106
89,79043
89,72334
90,344
90,78830
90,74034
90,78169
90,78252
90,72628
90,74588
90,73984
90,72382
90,79183
90,74510
90,73677
90,74286
90,78004
90,78503
90,73449
90,77267
90,73642
90,72443
90,75254
90,76249
90,77131
90,77227
90,78782
90,76181
90,72727
90,72441
90,77750
90,79106
90,79043
91,76833
91,76672
91,79510
91,75315
91,75674
92,79510
93,75315
93,79510
94,77131
94,78782
95,74802
95,79510
95,76672
96,79510
96,388
97,76833
97,79510
98,79510
98,78568
99,79510
100,79106
100,78782
100,72628
100,79043
100,77131
100,73984
100,400
100,72382
100,402
100,79183
100,76181
100,74510
100,406
100,73642
100,408
100,409
100,73677
100,76249
100,74286
101,75335
101,79510
102,75335
102,79510
103,417
103,79510
103,419
103,420
103,421
104,77131
104,77227
104,78782
104,76181
105,77131
105,427
105,76181
105,78782
106,430
106,431
106,432
106,433
106,434
107,435
108,436
109,437
110,79510
110,75241
110,76833
111,441
111,442
111,443
111,444
112,77131
113,446
113,447
113,448
113,449
113,450
113,451
113,452
113,453
114,72463
114,455
114,456
115,73854
115,72463
116,459
116,72463
116,461
117,72463
118,463
119,464
119,72463
120,73854
120,72463
121,74303
121,75962
122,73682
122,78624
123,78207
124,473
124,474
125,73429
126,75771
127,73429
127,78799
128,73428
129,77433
130,73429
130,78122
130,78410
130,74382
131,485
132,486
133,73429
133,78122
133,74382
134,73687
134,77881
135,73687
135,77881
136,73429
136,495
136,496
137,497
137,77433
137,74382
138,78506
138,76770
138,73429
138,78799
139,504
139,77881
140,506
141,77523
141,73428
142,77523
142,73428
143,511
143,512
144,75771
145,77433
146,515
147,516
148,73429
148,78410
149,74269
149,76793
149,73566
150,74269
150,77338
150,73566
151,74269
151,77338
151,73566
152,73429
152,79162
152,78799
153,531
154,74269
154,533
154,73566
155,535
155,536
155,537
156,73429
157,539
157,540
158,74269
158,76793
158,73566
159,73429
159,78410
159,546
159,547
160,74269
160,549
160,73566
161,73015
161,75603
161,77170
162,554
162,555
163,73429
163,78410
164,558
165,559
166,560
167,78207
168,562
169,73015
169,75603
169,77170
170,566
170,567
171,568
172,569
172,570
172,571
173,572
174,573
174,574
175,73429
175,78799
176,577
176,578
177,579
178,580
179,581
179,79177
179,583
179,74406
179,74406
180,586
180,587
180,588
181,589
181,72458
181,591
181,76153
182,74631
182,72501
182,74570
182,72799
182,74534
182,77939
182,78486
183,72501
183,74631
183,74534
183,74570
183,72799
184,605
184,606
185,607
185,608
185,609
185,610
186,611
186,77081
186,613
186,614
186,615
186,616
186,617
186,618
186,72502
186,620
186,621
186,622
187,79177
187,74406
187,625
188,626
188,627
188,628
188,74406
188,74406
189,74406
189,74406
189,633
189,634
189,635
189,636
189,637
189,79177
189,639
190,72458
191,72502
191,77081
191,643
192,644
193,78502
193,77140
194,74406
195,648
195,72458
196,650
196,651
196,652
196,653
196,654
197,72458
198,74406
198,657
198,658
198,79177
199,660
199,661
200,74406
200,663
200,664
201,665
201,666
202,77140
202,668
202,78502
203,72458
203,76153
204,72458
204,673
205,74406
205,675
205,676
206,72458
207,74631
207,72501
207,74570
207,72799
207,74534
207,77939
207,78486
208,685
209,78831
210,687
211,688
212,689
212,690
212,691
212,692
213,693
214,694
214,695
215,696
215,697
216,698
217,699
217,700
218,701
219,78831
220,703
221,74070
221,76759
222,706
222,707
222,708
222,709
222,710
222,711
222,712
222,713
222,714
222,715
222,716
222,717
222,718
223,719
224,74070
224,76759
225,79696
225,74070
225,76093
226,79696
226,74070
226,76093
227,73064
227,75460
228,72673
229,72954
229,72423
230,73064
230,75460
231,76093
231,79696
231,74070
232,738
232,739
