rid_temp,first_name,middle_name,last_name,department,institution,ms_id,hired_year,cal_poly_position,education
38,vincent,,bonini,math,,2957775007,2008,Associate Professor,"B.A., University of California, Santa Cruz, 2000; M.A., 2001; Ph.D., 2006."
39,conor,,carroll,,,2962600706,,,
40,uyen,,dinh,,,2961583625,,,
41,sydney,,dye,,,2956241495,,,
42,joshua,,frederick,,,2958454137,,,
43,erin,,pearse,,,2957870013,2012,Associate Professor,"B.S., University of California, Riverside, 1998; M.S., 2001; Ph.D., 2006."
53,asher,,auel,,emory university,1852387685,,,
55,skip,,garibaldi,,emory university,1953542746,,,
56,uzi,,vishne,,bar ilan university,151388213,,,
105,jiansong,,zhou,,university of washington,2274225230,,,
109,steven,,pawson,,goddard space flight center,1741173208,,,
111,j,eric,nielsen,,goddard space flight center,2164295612,,,
112,runlie,,shia,,california institute of technology,2090465540,,,
114,varavut,,limpasuvan,,coastal carolina university,318489553,,,
118,r,l,shia,,california institute of technology,3011439414,,,
119,david,,noone,,california institute of technology,2498932453,,,
120,christopher,k,walker,,california institute of technology,2135453329,,,
125,peter,,ashwin,,university of exeter,2010482217,,,
127,a,s von der,heydt,,utrecht university,2077215099,,,
130,a,f c,haldemann,,california institute of technology,2845683804,,,
132,charles,d,camp,math,,2642246538,2007,Associate Professor,"B.A., University of California, San Diego; 1989; Ph.D., California Institute of Technology, 2004."
133,charles,d,camp,math,,2253912817,2007,Associate Professor,"B.A., University of California, San Diego; 1989; Ph.D., California Institute of Technology, 2004."
134,diana,bernbaum,wilmot,,university of california berkeley,2168458164,,,
135,alan,h,schoenfeld,,university of california berkeley,2516876952,,,
136,mark,,wilson,,university of california berkeley,2479006016,,,
138,william,,zahner,,university of california santa cruz,2594180862,,,
143,angela,c,little,,university of california berkeley,2106637509,,,
144,pamalee,a,brady,,,2679442678,,,
145,john,,chen,,,2599066509,,,
