,department,institution,first_name,middle_name,last_name,title,year
0,,universiti tenaga nasional,muhammad,madi bin,abdullah,malim — a new computational approach of malay morphology,2010
1,,universiti tenaga nasional,muhammad,madi bin,abdullah,a state of art on 3d face modeling approaches,2011
2,,,robert,j,deschenes,akr1p dependent palmitoylation of yck2p yeast casein kinase 1 is necessary and sufficient for plasma membrane targeting,2004
3,,,joshua,d,bryan,plasma membrane localization of the yck2p yeast casein kinase 1 isoform requires the c terminal extension and secretory pathway function,2002
4,,,heather,r,panek,plasma membrane localization of the yck2p yeast casein kinase 1 isoform requires the c terminal extension and secretory pathway function,2002
5,,,solomon,l,jordan,plasma membrane localization of the yck2p yeast casein kinase 1 isoform requires the c terminal extension and secretory pathway function,2002
6,,,brynn,m,forbrich,plasma membrane localization of the yck2p yeast casein kinase 1 isoform requires the c terminal extension and secretory pathway function,2002
7,,,shannon,c,kelley,plasma membrane localization of the yck2p yeast casein kinase 1 isoform requires the c terminal extension and secretory pathway function,2002
8,,,richard,t,colvin,plasma membrane localization of the yck2p yeast casein kinase 1 isoform requires the c terminal extension and secretory pathway function,2002
9,,ragas dental college hospital,s,,nagarakanti,differential expression of e cadherin and cytokeratin 19 and net proliferative rate of gingival keratinocytes in oral epithelium in periodontal health and disease,2007
10,,ragas dental college hospital,s,,ramya,differential expression of e cadherin and cytokeratin 19 and net proliferative rate of gingival keratinocytes in oral epithelium in periodontal health and disease,2007
11,,ragas dental college hospital,k,v,arun,differential expression of e cadherin and cytokeratin 19 and net proliferative rate of gingival keratinocytes in oral epithelium in periodontal health and disease,2007
12,,ragas dental college hospital,sabitha,,sudarsan,differential expression of e cadherin and cytokeratin 19 and net proliferative rate of gingival keratinocytes in oral epithelium in periodontal health and disease,2007
13,,,mukesh,,khare,chemical characterization of airborne particles collected in an underground metro station platform in delhi city,2015
14,,,radha,,goyal,chemical characterization of airborne particles collected in an underground metro station platform in delhi city,2015
15,,,gourav,,suthar,indoor air quality and thermal comfort in green building a study for measurement problem and solution strategies,2020
16,,,anne,marie,bergen,designing engineering curriculum for pre service teachers in preparation for ngss medical mission drop curriculum exchange,2014
17,,university of california santa cruz,jose,e,pietri,the rich somatic life of wolbachia,2016
18,,,hong,,wen,the complex containing drosophila myb and rb e2f2 regulates cytokinesis in a histone h2av dependent manner,2013
19,,stanford university,melina,,grigorian,the role of variant histone h2av in drosophila melanogaster larval hematopoiesis,2017
20,,albion college,roger,,albertson,rop the sec1 munc18 homolog in drosophila is required for furrow ingression and stable cell shape during cytokinesis,2016
21,,university of california santa cruz,zachary,,swider,rop the sec1 munc18 homolog in drosophila is required for furrow ingression and stable cell shape during cytokinesis,2016
22,,indiana university purdue university indianapolis,david,s,cochran,extension of manufacturing system design decomposition to implement manufacturing systems that are sustainable,2016
23,,indiana university purdue university indianapolis,jason,,barnes,extension of manufacturing system design decomposition to implement manufacturing systems that are sustainable,2016
24,,indiana university purdue university indianapolis,zhuming,,bi,extension of manufacturing system design decomposition to implement manufacturing systems that are sustainable,2016
25,,general electric,richard,k,keck,combination package tilt pad journal bearing dual self equalizing thrust bearings with hydrostatic lift provisions,1992
26,,general electric,blake,weldon,wilson,combination package tilt pad journal bearing dual self equalizing thrust bearings with hydrostatic lift provisions,1992
27,,general electric,thomas,r,byrne,combination package tilt pad journal bearing dual self equalizing thrust bearings with hydrostatic lift provisions,1992
28,,,ben,,rodini,design and analysis of the jwst integrated science instrument module isim primary metering structure,2005
29,,,charles,,kaprielian,jwst isim primary structure and kinematic mount configuration,2004
30,,university of michigan,elizabeth,c,carroll,watergate and political attitudes,1974
31,,,wm,michael,denny,watergate and political attitudes,1974
32,,adelphi university,william,,spinrad,watergate and political attitudes,1974
33,,,james,p,fredericks,kootenai river fisheries investigations chapter 3 mainstem habitat use and recruitment estimates of rainbow trout 1996 annual report,1997
34,,university of california los angeles,ichiro,,nakano,maternal embryonic leucine zipper kinase is a key regulator of the proliferation of malignant brain tumors including brain tumor stem cells,2008
35,,university of california los angeles,michael,,mastermansmith,maternal embryonic leucine zipper kinase is a key regulator of the proliferation of malignant brain tumors including brain tumor stem cells,2008
36,,university of california los angeles,kuniyasu,,saigusa,maternal embryonic leucine zipper kinase is a key regulator of the proliferation of malignant brain tumors including brain tumor stem cells,2008
37,,university of california los angeles,andres,a,paucar,maternal embryonic leucine zipper kinase is a key regulator of the proliferation of malignant brain tumors including brain tumor stem cells,2008
38,,university of california los angeles,steve,,horvath,maternal embryonic leucine zipper kinase is a key regulator of the proliferation of malignant brain tumors including brain tumor stem cells,2008
39,,university of california los angeles,lorelei,d,shoemaker,maternal embryonic leucine zipper kinase is a key regulator of the proliferation of malignant brain tumors including brain tumor stem cells,2008
40,,university of california los angeles,momoko,,watanabe,maternal embryonic leucine zipper kinase is a key regulator of the proliferation of malignant brain tumors including brain tumor stem cells,2008
41,,sanford burnham institute for medical research,alejandra,,negro,maternal embryonic leucine zipper kinase is a key regulator of the proliferation of malignant brain tumors including brain tumor stem cells,2008
42,,sanford burnham institute for medical research,ruchi,,bajpai,maternal embryonic leucine zipper kinase is a key regulator of the proliferation of malignant brain tumors including brain tumor stem cells,2008
43,,university of california los angeles,vincent,,lelievre,maternal embryonic leucine zipper kinase is a key regulator of the proliferation of malignant brain tumors including brain tumor stem cells,2008
44,,university of california los angeles,jorge,a,lazareff,maternal embryonic leucine zipper kinase is a key regulator of the proliferation of malignant brain tumors including brain tumor stem cells,2008
45,,university of california los angeles,william,a,freije,maternal embryonic leucine zipper kinase is a key regulator of the proliferation of malignant brain tumors including brain tumor stem cells,2008
46,,st jude children s research hospital,richard,j,gilbertson,maternal embryonic leucine zipper kinase is a key regulator of the proliferation of malignant brain tumors including brain tumor stem cells,2008
47,,,daniel,h,geschwind,maternal embryonic leucine zipper kinase is a key regulator of the proliferation of malignant brain tumors including brain tumor stem cells,2008
