title,year,searched researcher,collaborators
Hypersurfaces with nonegative Ricci curvature in ℍn+1. [Corrected title: Hypersurfaces with nonnegative Ricci curvature in ℍn+1],2019,"Bonini, Vincent","Ma, Shiguang; Qing, Jie"
On nonnegatively curved hypersurfaces in ℍn+1,2018,"Bonini, Vincent","Ma, Shiguang; Qing, Jie"
Weakly horospherically convex hypersurfaces in hyperbolic space,2017,"Bonini, Vincent","Qing, Jie; Zhu, Jingyong"
Hypersurfaces in hyperbolic space with support function,2015,"Bonini, Vincent","Espinar, José M.; Qing, Jie"
Correspondences of hypersurfaces in hyperbolic Poincaré manifolds and conformally invariant PDEs,2010,"Bonini, Vincent","Espinar, José M.; Qing, Jie"
A positive mass theorem on asymptotically hyperbolic manifolds with corners along a hypersurface,2008,"Bonini, Vincent","Qing, Jie"
"""Negatively small'' perturbations of the Laplacian on asymptotically flat manifolds",2006,"Bonini, Vincent",
Ricci curvature rigidity for weakly asymptotically hyperbolic manifolds,2006,"Bonini, Vincent","Miao, Pengzi; Qing, Jie"
On the inheritance of orbifold substructures,2017,"Borzellino, Joseph E.","Brunsden, Victor"
On the notions of suborbifold and orbifold embedding,2015,"Borzellino, Joseph E.","Brunsden, Victor"
The stratified structure of spaces of smooth orbifold mappings,2013,"Borzellino, Joseph E.","Brunsden, Victor"
Elementary orbifold differential topology,2012,"Borzellino, Joseph E.","Brunsden, Victor"
When is a trigonometric polynomial not a trigonometric polynomial?,2012,"Borzellino, Joseph E.","Sherman, Morgan"
A manifold structure for the group of orbifold diffeomorphisms of a smooth orbifold,2008,"Borzellino, Joseph E.","Brunsden, Victor"
Closed geodesics on orbifolds of revolution,2007,"Borzellino, Joseph E.","Jordan-Squire, Christopher R.; Petrics, Gregory C.; Sullivan, D. Mark"
Determination of the topological structure of an orbifold by its group of orbifold diffeomorphisms,2003,"Borzellino, Joseph E.","Brunsden, Victor"
Orbifold homeomorphism and diffeomorphism groups,2002,"Borzellino, Joseph E.","Brunsden, Victor"
Orbifolds with lower Ricci curvature bounds,1997,"Borzellino, Joseph E.",
The closed geodesic problem for compact Riemannian 2-orbifolds,1996,"Borzellino, Joseph E.","Lorica, Benjamin G."
The splitting theorem for orbifolds,1994,"Borzellino, Joseph E.","Zhu, Shun-Hui"
Pinching theorems for teardrops and footballs of revolution,1994,"Borzellino, Joseph E.",
Orbifolds of maximal diameter,1993,"Borzellino, Joseph E.",
Riemannian geometry of orbifolds,1992,"Borzellino, Joseph E.",
Cyclic length in the tame Brauer group of the function field of a p-adic curve,2016,"Brussel, Eric","McKinnie, Kelly; Tengan, Eduardo"
Formal constructions in the Brauer group of the function field of a p-adic curve,2015,"Brussel, Eric","Tengan, Eduardo"
Tame division algebras of prime period over function fields of p-adic curves,2014,"Brussel, Eric","Tengan, Eduardo"
Fixed points of the p-adic q-bracket,2012,"Brussel, Eric",
Open problems on central simple algebras,2011,"Brussel, Eric","Auel, Asher; Garibaldi, Skip; Vishne, Uzi"
Indecomposable and noncrossed product division algebras over function fields of smooth p-adic curves,2011,"Brussel, Eric","McKinnie, K.; Tengan, Eduardo"
Bloch-Ogus sequence in degree two,2010,"Brussel, Eric","Tengan, Eduardo"
Saltman's p-adic curves papers,2010,"Brussel, Eric",
Alternating forms and the Brauer group of a geometric field,2007,"Brussel, Eric",
Non-crossed products over function fields,2002,"Brussel, Eric",
The division algebras and Brauer group of a strictly Henselian field,2001,"Brussel, Eric",
Noncrossed products over k𝔭(t),2001,"Brussel, Eric",
An arithmetic obstruction to division algebra decomposability,2000,"Brussel, Eric",
Division algebra subfields introduced by an indeterminate,1997,"Brussel, Eric",
Wang counterexamples lead to noncrossed products,1997,"Brussel, Eric",
Decomposability and embeddability of discretely Henselian division algebras,1996,"Brussel, Eric",
Division algebras not embeddable in crossed products,1996,"Brussel, Eric",
Noncrossed products and nonabelian crossed products over Q(t) and Q((t)),1995,"Brussel, Eric",
Noncrossed product division algebras and other examples over q(t) and q((t)),1993,"Brussel, Eric",
Chaotic and non-chaotic response to quasiperiodic forcing: limits to predictability of ice ages paced by Milankovitch forcing,2018,"Camp, Charles David","Ashwin, Peter; von der Heydt, Anna S."
Validation of the nonhydrostatic general curvilinear coastal ocean model (GCCOM) for stratified flows,2019,"Choboter, Paul Franklin","Garcia, Mariangel; Walter, Ryan K.; Castillo, Jose E."
Modelling the dynamics of abyssal equator-crossing currents,2002,"Choboter, Paul Franklin",
Modeling equator-crossing currents on the ocean bottom,2000,"Choboter, Paul Franklin","Swaters, Gordon E."
Forced disturbances in a zero absolute vorticity gradient environment,2000,"Choboter, Paul Franklin","Brunet, Gilbert; Maslowe, Sherwin A."
On the baroclinic instability of axisymmetric rotating gravity currents with bottom slope,2000,"Choboter, Paul Franklin","Swaters, Gordon E."
Geometric characterization of data sets with unique reduced Gröbner bases,2019,"Dimitrova, Elena S.","He, Qijun; Stigler, Brandilyn; Zhang, Anyu"
Difference equation for tracking perturbations in systems of Boolean nested canalyzing functions,2015,"Dimitrova, Elena S.","Yordanov, Oleg I.; Matache, Mihaela T."
Data identification for improving gene network inference using computational algebra,2014,"Dimitrova, Elena S.","Stigler, Brandilyn"
Nested canalyzing depth and network stability,2012,"Dimitrova, Elena S.","Layne, Lori; Macauley, Matthew"
Parameter estimation for Boolean models of biological networks,2011,"Dimitrova, Elena S.","García-Puente, Luis David; Hinkelmann, Franziska; Jarrah, Abdul S.; Laubenbacher, Reinhard; Stigler, Brandilyn; Stillman, Michael; Vera-Licona, Paola"
Discretization of time series data,2010,"Dimitrova, Elena S.","Vera Licona, M. Paola; McGee, John; Laubenbacher, Reinhard"
Estimating the volumes of the cones in a Gröbner fan,2010,"Dimitrova, Elena S.",
Forecasting polynomial dynamics,2008,"Dimitrova, Elena S.","Zardecki, Andrew"
A Gröbner fan method for biochemical network modeling,2007,"Dimitrova, Elena S.","Jarrah, Abdul Salam; Laubenbacher, Reinhard; Stigler, Brandilyn"
Polynomial models for systems biology: Data discretization and term order effect on dynamics,2006,"Dimitrova, Elena S.",
Planar low-energy asteroid and comet transit analysis using isolating blocks,2019,"Easton, Robert W.","Anderson, Rodney L.; Chodas, Paul W.; Lo, Martin W."
Isolating blocks as computational tools in the circular restricted three-body problem,2017,"Easton, Robert W.","Anderson, Rodney L.; Lo, Martin W."
Drift by coupling to an anti-integrable limit,2001,"Easton, Robert W.","Meiss, J. D.; Roberts, G."
Stability of levitrons,1999,"Easton, Robert W.","Dullin, Holger R."
Geometric methods for discrete dynamical systems,1998,"Easton, Robert W.",
Transport of phase space volume near isolated invariant sets,1993,"Easton, Robert W.",
Exit times and transport for symplectic twist maps,1993,"Easton, Robert W.","Meiss, J. D.; Carver, S."
Capture orbits and Melʹnikov integrals in the planar three-body problem,1991,"Easton, Robert W.",
Transport through chaos,1991,"Easton, Robert W.",
Isolating blocks and epsilon chains for maps,1989,"Easton, Robert W.",
Trellises formed by stable and unstable manifolds in the plane,1986,"Easton, Robert W.",
Parabolic orbits in the planar three-body problem,1984,"Easton, Robert W.",
Computing the dependence on a parameter of a family of unstable manifolds: generalized Melnikov formulas,1984,"Easton, Robert W.",
Orbit structure near trajectories biasymptotic to invariant tori,1979,"Easton, Robert W.",
Ergodicity of linked twist maps,1979,"Easton, Robert W.","Burton, Robert"
"Perturbed twist maps, homoclinic points and ergodic zones",1978,"Easton, Robert W.",
Homoclinic phenomena for orbits doubly asymptotic to an invariant three-sphere,1979,"Easton, Robert W.","McGehee, Richard"
Chain transitivity and the domain of influence of an invariant set,1977,"Easton, Robert W.",
Homoclinic phenomena in Hamiltonian systems with several degrees of freedom,1978,"Easton, Robert W.",
Some qualitative aspects of the three-body flow,1974,"Easton, Robert W.",
Characterizations of asymmetric truncated Toeplitz and Hankel operators,2019,"Gu, Caixing","Łanucha, Bartosz; Michalska, Małgorzata"
Adjoints of composition operators with linear fractional symbols on the Dirichlet space of the disk or the ball,2019,"Gu, Caixing",
Binormal Toeplitz operators on the Hardy space,2019,"Gu, Caixing","Kang, Dong-O; Ko, Eungil; Lee, Ji Eun"
Common reducing subspaces of several weighted shifts with operator weights,2018,"Gu, Caixing",
A commutator approach to truncated singular integral operators,2018,"Gu, Caixing","Kang, Dong-O"
Composition and multiplication operators on the derivative Hardy space S2(𝔻),2018,"Gu, Caixing","Luo, Shuaibing"
Examples of m-isometric tuples of operators on a Hilbert space,2018,"Gu, Caixing",
Reducing subspaces of non-analytic Toeplitz operators on weighted Hardy and Dirichlet spaces of the bidisk,2018,"Gu, Caixing",
The n-inverses of a matrix,2017,"Gu, Caixing","Keas, Heidi; Lee, Robert"
Reducing subspaces for multiplication operators on the Dirichlet space through local inverses and Riemann surfaces,2017,"Gu, Caixing","Luo, Shuaibing; Xiao, Jie"
Tensor-splitting properties of n-inverse pairs of operators,2017,"Gu, Caixing","Paul, Stepan"
Rank of truncated Toeplitz operators,2017,"Gu, Caixing","Kang, Dong-O"
Normal singular Cauchy integral operators with operator-valued symbols,2017,"Gu, Caixing","Hwang, In Sung; Kang, Dong-O; Lee, Woo Young"
Elementary properties of ∞-isometries on a Hilbert space,2016,"Gu, Caixing","Chō, Muneo; Lee, Woo Young"
Reducing subspaces of weighted shifts with operator weights,2016,"Gu, Caixing",
Algebraic properties of Cauchy singular integral operators on the unit circle,2016,"Gu, Caixing",
Functional calculus for m-isometries and related operators on Hilbert spaces and Banach spaces,2015,"Gu, Caixing",
Structures of left n-invertible operators and their applications,2015,"Gu, Caixing",
"The (m,q)-isometric weighted shifts on lp spaces",2015,"Gu, Caixing",
"A model for (n,p)-hypercontractions on Banach space",2015,"Gu, Caixing","Chen, Zhengli"
Double coset separability of abelian subgroups of hyperbolic n-orbifold groups,2016,"Hamilton, Emily",
Separability of double cosets and conjugacy classes in 3-manifold groups,2013,"Hamilton, Emily","Wilton, Henry; Zalesskii, Pavel A."
Geodesics and commensurability classes of arithmetic hyperbolic 3-manifolds,2008,"Hamilton, Emily","Chinburg, T.; Long, D. D.; Reid, A. W."
Finite quotients of rings and applications to subgroup separability of linear groups,2005,"Hamilton, Emily",
Eigenvalue fields of hyperbolic orbifolds,2004,"Hamilton, Emily","Reid, A. W."
Classes of separable two-generator free subgroups of 3-manifold groups,2003,"Hamilton, Emily",
Abelian subgroup separability of Haken 3-manifolds and closed hyperbolic n-orbifolds,2001,"Hamilton, Emily",
Abelian subgroups of finitely generated Kleinian groups are separable,1999,"Hamilton, Emily","Allman, Elizabeth S."
Geometrical finiteness for hyperbolic orbifolds,1998,"Hamilton, Emily",
Urcohomologies and cohomologies of N-complexes,2010,"Kato, Goro C.","Hiramatsu, Naoya"
u-singularity and t-topos theoretic entropy,2010,"Kato, Goro C.",
Double-slit interference and temporal topos,2006,"Kato, Goro C.","Tanaka, Tsunefumi"
The heart of cohomology,2006,"Kato, Goro C.",
"Elemental t.g. principles of relativistic t-topos (presheafification of matter, space, and time)",2005,"Kato, Goro C.",
Elemental principles of t-topos,2004,"Kato, Goro C.",
Fundamentals of algebraic microlocal analysis,1999,"Kato, Goro C.","Struppa, Daniele C."
Cohomology and D-modules,1989,"Kato, Goro C.",
A p-adic cohomological method for the Weierstrass family and its zeta invariants,1992,"Kato, Goro C.",
Lifted p-adic homology with compact supports of the Weierstrass family and its zeta endomorphism,1990,"Kato, Goro C.",
On the notion of precohomology,1986,"Kato, Goro C.",
On the generators of the first homology with compact supports of the Weierstrass family in characteristic zero,1983,"Kato, Goro C.",
Zeta matrices of elliptic curves,1982,"Kato, Goro C.","Lubkin, Saul"
ZETA MATRICES OF ELLIPTIC CURVES (Thesis),1979,"Kato, Goro C.",
Second Leray spectral sequence of relative hypercohomology,1978,"Kato, Goro C.","Lubkin, Saul"
Centralizers of Coxeter elements and inner automorphisms of right-angled Coxeter groups,2009,"Kaul, Anton","White, Matthew E."
Automorphisms of right-angled Coxeter groups,2008,"Kaul, Anton","Gutierrez, Mauricio"
A class of rigid Coxeter groups,2002,"Kaul, Anton",
Rigidity for a class of Coxeter groups,2000,"Kaul, Anton",
Thermal blow-up in a finite strip with superdiffusive properties,2018,"Kirk, Colleen M.","Olmstead, W. Edward"
On the contributions of W. Edward Olmstead,2018,"Kirk, Colleen M.","Ritter, L. R."
Introduction to the Special Issue honoring W. E. Olmstead,2018,"Kirk, Colleen M.","Roberts, Catherine A."
Local and nonlocal boundary quenching in a subdiffusive medium,2016,"Kirk, Colleen M.","Olmstead, W. Edward"
Blowing-up solutions to systems of fractional differential and integral equations with exponential non-linearities,2014,"Kirk, Colleen M.","Kadem, A.; Kirane, M.; Olmstead, W. E."
Thermal blow-up in a subdiffusive medium due to a nonlinear boundary flux,2014,"Kirk, Colleen M.","Olmstead, W. Edward"
A system of nonlinear Volterra equations with blow-up solutions,2013,"Kirk, Colleen M.","Olmstead, W. E.; Roberts, C. A."
Superdiffusive blow-up with advection,2012,"Kirk, Colleen M.","Olmstead, W. E."
Blow-up in a subdiffusive medium with advection,2010,"Kirk, Colleen M.","Olmstead, W. Edward; Roberts, Catherine A."
Numerical and asymptotic analysis of a localized heat source undergoing periodic motion,2009,"Kirk, Colleen M.",
A localized heat source undergoing periodic motion: analysis of blow-up and a numerical solution,2009,"Kirk, Colleen M.",
Blow-up solutions of the two-dimensional heat equation due to a localized moving source,2005,"Kirk, Colleen M.","Olmstead, W. E."
Conditions on the motion of a heat source that guarantee a blow-up solution of the two-dimensional heat equation,2004,"Kirk, Colleen M.","Olmstead, W. E."
A review of quenching results in the context of nonlinear Volterra equations,2001,"Kirk, Colleen M.","Roberts, Catherine A."
A quenching problem for the heat equation,2002,"Kirk, Colleen M.","Roberts, Catherine A."
Blow-up in a reactive-diffusive medium with a moving heat source,2002,"Kirk, Colleen M.","Olmstead, W. E."
The influence of a moving heat source on blow-up in a reactive diffusive medium.,2001,"Kirk, Colleen M.","Olmstead, W. E."
The influence of two moving heat sources on blow-up in a reactive-diffusive medium,2000,"Kirk, Colleen M.","Olmstead, W. E."
Blow-up in a reactive-diffusive medium with spatially-localized and moving heat sources,1999,"Kirk, Colleen M.",
A fixed point theorem of Krasnoselskii-Schaefer type,1998,"Kirk, Colleen M.","Burton, T. A."
Exploring a Delta Schur conjecture,2019,"Liese, Jeffrey","Garsia, Adriano; Remmel, Jeffrey B.; Yoo, Meesue"
Connection coefficients between generalized rising and falling factorial bases,2015,"Liese, Jeffrey","Miceli, Brian K.; Remmel, Jeffrey"
"Harmonic numbers, Catalan's triangle and mesh patterns",2013,"Liese, Jeffrey","Kitaev, Sergey"
Wilf equivalence for generalized factor orders modulo  k,2012,"Liese, Jeffrey","Langley, Thomas; Remmel, Jeffrey"
Preface [Ninth Annual Conference on Permutation Patterns (PP2011)],2011,"Liese, Jeffrey","Ferrari, Luca"
Generating functions for Wilf equivalence under generalized factor order,2011,"Liese, Jeffrey","Langley, Thomas; Remmel, Jeffrey"
Q-analogues of the number of permutations with k-excedances,2010,"Liese, Jeffrey","Remmel, Jeffrey"
Generating functions for permutations avoiding a consecutive pattern,2010,"Liese, Jeffrey","Remmel, Jeffrey"
"Rationality, irrationality, and Wilf equivalence in generalized factor order",2009,"Liese, Jeffrey","Kitaev, Sergey; Remmel, Jeffrey; Sagan, Bruce"
q-counting descent pairs with prescribed tops and bottoms,2009,"Liese, Jeffrey","Hall, John; Remmel, Jeffrey B."
Counting patterns in permutations and words,2008,"Liese, Jeffrey",
Counting descents and ascents relative to equivalence classes mod k,2007,"Liese, Jeffrey",
Bounds on the complex permittivity of polycrystalline materials by analytic continuation,2015,"Lin, Joyce","Gully, A.; Cherkaev, E.; Golden, K. M."
A first-principle predictive theory for a sphere falling through sharply stratified fluid at low Reynolds number,2010,"Lin, Joyce","Camassa, Roberto; Falcon, Claudia; McLaughlin, Richard M.; Mykins, Nicholas"
Position sequences and a q-analogue for the modular hook length formula,2019,"Mendes, Anthony","Lindbloom-Airey, Sam"
The combinatorics of rim hook tableaux,2019,"Mendes, Anthony",
A note on the kth tensor product of the defining representation,2016,"Mendes, Anthony","Romero, Marino"
Counting with symmetric functions,2015,"Mendes, Anthony","Remmel, Jeffrey"
Guessing games,2014,"Mendes, Anthony","Morrison, Kent E."
Hook and content bijections,2013,"Mendes, Anthony",
Permutations with k-regular descent patterns,2010,"Mendes, Anthony","Remmel, Jeffrey B.; Riehl, Amanda"
"Descents, inversions, and major indices in permutation groups",2008,"Mendes, Anthony","Remmel, Jeffrey"
A note on alternating permutations,2007,"Mendes, Anthony","Remmel, Jeffrey"
Permutations and words counted by consecutive patterns,2006,"Mendes, Anthony",
Bijective matrix algebra,2006,"Mendes, Anthony","Loehr, Nicholas A."
Generating functions for statistics on  Ck≀Sn,2005,"Mendes, Anthony","Remmel, Jeffrey"
Building generating functions brick by brick,2004,"Mendes, Anthony",
A λ-ring Frobenius characteristic for  G≀Sn,2004,"Mendes, Anthony","Remmel, Jeffrey; Wagner, Jennifer"
An analysis of strategic treatment interruptions during imatinib treatment of chronic myelogenous leukemia with imatinib-resistant mutations,2015,"Paquin, Dana","Sacco, David; Shamshoian, John"
Strategic treatment interruptions during imatinib treatment of chronic myelogenous leukemia,2011,"Paquin, Dana","Kim, Peter S.; Lee, Peter P.; Levy, Doron"
Multiscale deformable registration of noisy medical images,2008,"Paquin, Dana","Levy, Doron; Xing, Lei"
Multiscale methods for image registration,2007,"Paquin, Dana",
Hybrid multiscale landmark and deformable image registration,2007,"Paquin, Dana","Levy, Doron; Xing, Lei"
Multiscale image registration,2006,"Paquin, Dana","Levy, Doron; Schreibmann, Eduard; Xing, Lei"
Symmetric numerical ranges of four-by-four matrices,2018,"Patton, Linda J.","Burnett, Shelby L.; Chandler, Ashley"
Numerical ranges of 4-by-4 nilpotent matrices: flat portions on the boundary,2017,"Patton, Linda J.","Militzer, Erin; Spitkovsky, Ilya M.; Tsai, Ming-Cheng"
Trace conditions for symmetry of the numerical range,2013,"Patton, Linda J.","Deaett, Louis; Lafuente-Rodriguez, Ramiro H.; Marin, Juan, Jr.; Haller Martin, Erin; Rasmussen, Kathryn; Johnson Yates, Rebekah B."
Some block Toeplitz composition operators,2013,"Patton, Linda J.",
